127.0.0.1 - - [11/Apr/2024:18:54:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:10 +0900] "GET /pro1/ HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:10 +0900] "GET /pro1/images/magok_logo.png HTTP/1.1" 200 28156
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:10 +0900] "GET /pro1/js/bootstrap.min.js HTTP/1.1" 200 48950
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:10 +0900] "GET /pro1/js/jquery-3.2.1.min.js HTTP/1.1" 200 86663
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:10 +0900] "GET /pro1/css/bootstrap.min.css HTTP/1.1" 200 144883
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:10 +0900] "GET /pro1/images/favicon.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:12 +0900] "GET /pro1/member/ HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:54:12 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:56 +0900] "GET /pro1/member/ HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:56 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:57 +0900] "GET /pro1/member/ HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:57 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:58 +0900] "GET /pro1/member/ HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:58 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:58 +0900] "GET /pro1/member/ HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:58 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:55:59 +0900] "GET /pro1/notilist HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:56:01 +0900] "GET /pro1/notilist HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:56:03 +0900] "GET /pro1/notilist HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:18:56:04 +0900] "GET /pro1/notilist HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:03:40 +0900] "GET /pro1/notilist HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:03:43 +0900] "GET /pro1/notilist HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:03:55 +0900] "GET /pro1/member/ HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:03:55 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:03:56 +0900] "GET /pro1/member/ HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:03:56 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:06 +0900] "GET /pro1/member/ HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:06 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:17 +0900] "GET /pro1/member/login.jsp HTTP/1.1" 200 20804
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:17 +0900] "GET /pro1/member/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:18 +0900] "GET /pro1/member/term.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:24 +0900] "GET /pro1/member/term.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:36 +0900] "GET /pro1/member/terms.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [11/Apr/2024:19:06:39 +0900] "GET /pro1/member/policy.jsp HTTP/1.1" 200 128
